Platform,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Rating,Critic_Score_Class,KMEANS-prediction,GMM-prediction,BisKMeans-prediction
3DS,Action,505 Games,0.0,0.05,0.05,0.0,0.1,T,Bueno,2,1,0
3DS,Action,Activision,0.13,0.01,0.0,0.02,0.15,E10+,Malo,2,3,0
3DS,Action,Activision,0.33,0.2,0.0,0.05,0.58,E10+,Excelente,0,0,0
3DS,Action,Activision,0.38,0.2,0.0,0.05,0.63,E,Aceptable,0,0,0
3DS,Action,Agatsuma Entertainment,0.16,0.0,0.03,0.01,0.2,T,Aceptable,2,1,0
3DS,Action,Capcom,0.16,0.16,0.13,0.03,0.49,M,Aceptable,2,1,0
3DS,Action,Capcom,0.3,0.22,0.3,0.05,0.88,M,Excelente,0,6,1
3DS,Action,Electronic Arts,0.06,0.2,0.0,0.03,0.29,E,Aceptable,2,0,0
3DS,Action,G.Rev,0.0,0.0,0.01,0.0,0.01,E,Bueno,2,1,0
3DS,Action,Konami Digital Entertainment,0.15,0.11,0.1,0.02,0.38,M,Bueno,2,1,0
3DS,Action,Little Orbit,0.0,0.07,0.0,0.0,0.08,E10+,Aceptable,2,3,0
3DS,Action,LucasArts,0.61,0.43,0.0,0.09,1.13,E10+,Aceptable,0,0,1
3DS,Action,Marvelous Entertainment,0.41,0.17,0.3,0.05,0.92,E,Bueno,0,6,1
3DS,Action,Namco Bandai Games,0.01,0.01,0.0,0.0,0.02,E10+,Malo,2,3,0
3DS,Action,Namco Bandai Games,0.05,0.04,0.28,0.01,0.39,T,Bueno,2,1,0
3DS,Action,Nintendo,0.0,0.01,0.08,0.0,0.1,E10+,Malo,2,1,0
3DS,Action,Nintendo,0.03,0.04,0.09,0.01,0.16,E,Bueno,2,1,0
3DS,Action,Nintendo,0.2,0.04,0.21,0.02,0.47,E,Excelente,2,1,0
3DS,Action,Nintendo,0.3,0.18,0.5,0.05,1.03,E,Excelente,0,6,1
3DS,Action,Nintendo,0.31,0.1,0.05,0.03,0.49,E10+,Malo,2,1,0
3DS,Action,Nintendo,0.47,0.26,0.35,0.07,1.14,E10+,Malo,0,6,1
3DS,Action,Nintendo,0.48,0.35,0.36,0.07,1.27,E10+,Excelente,0,6,1
3DS,Action,Nintendo,1.16,0.57,0.47,0.17,2.38,E10+,Excelente,5,6,2
